#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          9.02         0.11         0.28        0.009  # 1972,D.C.Santry+         ## 10224004  #dY:3.2%   
          9.25         0.11        0.285        0.009  # 1972,D.C.Santry+         ## 10224004  #dY:3.2%   
           9.3         0.11        0.283         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.5%   
           9.3         0.15         0.26         0.03  # 1978,Yu.A.Nemilov+       ## 40485003  #dY:11.5%  
          9.37         0.23        0.251        0.014  # 1999,Xiaolong Huang+     ## 31500002  #dY:5.6%   
         9.455        0.209       0.1903     0.009894  # 1975,D.L.Smith+          ## 10238045  #dY:5.2%   
           9.5          0.5        0.266        0.038  # 1991,Y.Ikeda+            ## 22209012  #dY:14.3%  
           9.5         0.25        0.257        0.013  # 1999,Xiaolong Huang+     ## 31500002  #dY:5.1%   
         9.532       0.0575       0.2456    0.0071715  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
          9.63         0.11        0.287         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.5%   
           9.8         0.11        0.296         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
           9.9         0.25        0.249        0.013  # 1999,Xiaolong Huang+     ## 31500002  #dY:5.2%   
         9.939        0.218       0.1884     0.009984  # 1975,D.L.Smith+          ## 10238045  #dY:5.3%   
         9.979       0.0565       0.2481    0.0072197  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
         10.03         0.11        0.288         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.5%   
         10.25         0.11        0.294         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
          10.4        0.165        0.249        0.013  # 1999,Xiaolong Huang+     ## 31500002  #dY:5.2%   
          10.5         0.11        0.299         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.3%   
        10.569       0.0545       0.2615     0.007845  # 2007,W.Mannhart+         ## 22976028  #dY:3.0%   
         10.75         0.11        0.297         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
        10.929        0.054       0.2556    0.0075658  # 2007,W.Mannhart+         ## 22976028  #dY:3.0%   
            11         0.11        0.292         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.4%   
            11          0.5        0.289        0.017  # 1991,Y.Ikeda+            ## 22209005  #dY:5.9%   
            11          0.5        0.275        0.017  # 1991,Y.Ikeda+            ## 22209012  #dY:6.2%   
          11.4        0.175        0.243        0.012  # 1999,Xiaolong Huang+     ## 31500002  #dY:4.9%   
        11.495        0.053       0.2508    0.0074989  # 2007,W.Mannhart+         ## 22976028  #dY:3.0%   
          11.5         0.11        0.286         0.01  # 1972,D.C.Santry+         ## 10224004  #dY:3.5%   
        11.909       0.0525       0.2498    0.0072692  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
          12.1         0.11        0.282        0.009  # 1972,D.C.Santry+         ## 10224004  #dY:3.2%   
        12.207       0.0525        0.245      0.00735  # 2007,W.Mannhart+         ## 22976028  #dY:3.0%   
          12.4         0.05        0.262        0.018  # 1962,F.Gabbard+          ## 11494011  #dY:6.9%   
        12.496       0.0525       0.2367     0.006888  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
          12.5          0.2        0.265        0.015  # 1972,D.C.Santry+         ## 10224005  #dY:5.7%   
          12.6         0.12        0.267        0.012  # 1972,D.C.Santry+         ## 10224004  #dY:4.5%   
         12.69        0.052       0.2285    0.0066265  # 2007,W.Mannhart+         ## 22976028  #dY:2.9%   
        12.967        0.052       0.2172    0.0064726  # 2007,W.Mannhart+         ## 22976028  #dY:3.0%   
            13            0        0.245         0.02  # 1962,F.Gabbard+          ## 11494011  #dY:8.2%   
         13.04          0.4        0.218        0.024  # 1995,D.Kielan+           ## 31460002  #dY:11.0%  
         13.08         0.12        0.232        0.015  # 1972,D.C.Santry+         ## 10224004  #dY:6.5%   
          13.1         0.15         0.25         0.01  # 1963,M.Bormann+          ## 21343009  #dY:4.0%   
        13.177        0.052       0.2059    0.0062594  # 2007,W.Mannhart+         ## 22976028  #dY:3.0%   
         13.32            0        0.192        0.012  # 1993,C.Konno+            ## 22637007  #dY:6.2%   
          13.4            0         0.25         0.02  # 1962,F.Gabbard+          ## 11494011  #dY:8.0%   
          13.4          0.2        0.218        0.012  # 1995,D.Kielan+           ## 31460002  #dY:5.5%   
        13.531        0.052       0.1966    0.0061732  # 2007,W.Mannhart+         ## 22976028  #dY:3.1%   
         13.56            0        0.175        0.011  # 1993,C.Konno+            ## 22637007  #dY:6.3%   
         13.58         0.12        0.216        0.016  # 1972,D.C.Santry+         ## 10224004  #dY:7.4%   
         13.58         0.05        0.217        0.013  # 1972,D.C.Santry+         ## 10224005  #dY:6.0%   
         13.65            0        0.235        0.015  # 1962,F.Gabbard+          ## 11494011  #dY:6.4%   
        13.699        0.052       0.1853    0.0060408  # 2007,W.Mannhart+         ## 22976028  #dY:3.3%   
         13.74            0        0.156         0.01  # 1993,C.Konno+            ## 22637007  #dY:6.4%   
         13.77            0        0.175        0.059  # 1982,M.Viennot+          ## 30644018  #dY:33.7%  
         13.77         0.13        0.232        0.009  # 1991,M.Viennot+          ## 30978030  #dY:3.9%   
         13.86         0.05         0.19       0.0152  # 1962,E.Weigold+          ## 31110005  #dY:8.0%   
         13.89         0.03          0.2        0.012  # 1972,D.C.Santry+         ## 10224005  #dY:6.0%   
          13.9            0       0.2282       0.0185  # 1994,N.I.Molla+          ## 31449011  #dY:8.1%   
          13.9          0.3         0.19        0.011  # 1995,D.Kielan+           ## 31460002  #dY:5.8%   
